Date,"Google Play rating (Per interval, Daily): All countries / regions","Google Play rating (Per interval, Daily): Egypt","Google Play rating (Per interval, Daily): Mauritania","Google Play rating (Per interval, Daily): Côte d’Ivoire","Google Play rating (Per interval, Daily): Algeria",Notes
1 Dec 2023,4.14,-,4.14,4.14,-,
2 Dec 2023,4.25,-,4.25,4.25,-,
3 Dec 2023,4.25,-,4.25,4.25,-,
4 Dec 2023,4.25,-,4.25,4.25,-,
5 Dec 2023,4.33,-,4.33,4.33,-,Roll-out of release: Started roll-out of 2 (2.0) at 100%.
6 Dec 2023,4.4,-,4.4,4.4,-,
7 Dec 2023,4.4,-,4.4,4.4,-,Roll-out of release: Started roll-out of 1 (1.0) at 100%. Roll-out of release: Started roll-out of 3 (1.1) at 100%. Roll-out of release: Started roll-out of 4 (1.2) at 100%. Roll-out of release: Started roll-out of 5 (1.11) at 100%.
8 Dec 2023,4,3.67,4,4,-,Roll-out of release: Started roll-out of 6 (3.0) at 100%.
9 Dec 2023,4.12,4.17,4.12,4.12,-,
10 Dec 2023,4.21,4.29,4.21,4.21,-,
11 Dec 2023,4.21,4.29,4.21,4.21,-,
12 Dec 2023,4.25,4.38,4.25,4.25,-,
13 Dec 2023,4.25,4.38,4.25,4.25,-,
14 Dec 2023,4.25,4.38,4.25,4.25,-,
15 Dec 2023,4.29,4.38,4.29,4.29,-,
16 Dec 2023,4.32,4.38,4.32,4.32,-,
17 Dec 2023,4.32,4.38,4.32,4.32,-,
18 Dec 2023,4.32,4.38,4.32,4.32,-,
19 Dec 2023,4.38,4.5,4.38,4.38,-,
20 Dec 2023,4.38,4.5,4.38,4.38,-,
21 Dec 2023,4.38,4.5,4.38,4.38,-,
22 Dec 2023,4.4,4.55,4.4,4.4,-,
23 Dec 2023,4.32,4.55,4.32,4.32,-,
24 Dec 2023,4.37,4.55,4.35,4.35,-,
25 Dec 2023,4.37,4.55,4.35,4.35,-,
26 Dec 2023,4.37,4.55,4.35,4.35,-,
27 Dec 2023,4.37,4.55,4.35,4.35,-,
28 Dec 2023,4.37,4.55,4.35,4.35,-,
29 Dec 2023,4.37,4.55,4.35,4.35,-,Roll-out of release: Started roll-out of 8 (3.2) at 100%. Roll-out of release: Started roll-out of 9 (3.21) at 100%. Roll-out of release: Started roll-out of 10 (3.3) at 100%.
30 Dec 2023,4.37,4.55,4.35,4.35,-,
31 Dec 2023,4.39,4.58,4.37,4.37,-,
1 Jan 2024,4.39,4.58,4.37,4.37,-,
2 Jan 2024,4.39,4.58,4.37,4.37,-,
3 Jan 2024,4.35,4.38,4.31,4.31,-,
4 Jan 2024,4.38,4.38,4.33,4.33,-,
5 Jan 2024,4.38,4.38,4.33,4.33,-,
6 Jan 2024,4.38,4.38,4.33,4.33,-,
7 Jan 2024,4.38,4.38,4.33,4.33,-,
8 Jan 2024,4.38,4.38,4.33,4.33,-,
9 Jan 2024,4.38,4.38,4.33,4.33,-,
10 Jan 2024,4.38,4.38,4.33,4.33,-,
11 Jan 2024,4.39,4.43,4.35,4.35,-,
12 Jan 2024,4.39,4.43,4.35,4.35,-,
13 Jan 2024,4.44,4.5,4.41,4.41,-,
14 Jan 2024,4.38,4.5,4.34,4.34,-,
15 Jan 2024,4.41,4.53,4.36,4.36,-,
16 Jan 2024,4.42,4.56,4.38,4.38,-,
17 Jan 2024,4.42,4.56,4.38,4.38,-,
18 Jan 2024,4.41,4.53,4.37,4.37,-,
19 Jan 2024,4.41,4.53,4.37,4.37,-,
20 Jan 2024,4.41,4.53,4.37,4.37,-,
21 Jan 2024,4.41,4.53,4.37,4.37,-,
22 Jan 2024,4.38,4.5,4.35,4.35,-,
