Date,"Crashes (Per interval, Daily): All Android versions","Crashes (Per interval, Daily): Android 14","Crashes (Per interval, Daily): Android 15","Crashes (Per interval, Daily): Android 8.1","Crashes (Per interval, Daily): Android 12",Notes
1 Dec 2023,62,0,0,8,18,
2 Dec 2023,69,0,0,9,24,
3 Dec 2023,61,0,0,8,5,
4 Dec 2023,55,0,0,11,12,
5 Dec 2023,51,0,0,4,11,Roll-out of release: Started roll-out of 2 (2.0) at 100%.
6 Dec 2023,143,0,0,2,9,
7 Dec 2023,208,0,0,1,23,Roll-out of release: Started roll-out of 1 (1.0) at 100%. Roll-out of release: Started roll-out of 3 (1.1) at 100%. Roll-out of release: Started roll-out of 4 (1.2) at 100%. Roll-out of release: Started roll-out of 5 (1.11) at 100%.
8 Dec 2023,216,1,0,13,65,Roll-out of release: Started roll-out of 6 (3.0) at 100%.
9 Dec 2023,194,0,0,5,76,
10 Dec 2023,122,0,0,1,29,
11 Dec 2023,103,0,0,6,39,
12 Dec 2023,89,0,0,6,26,
13 Dec 2023,93,0,0,7,38,
14 Dec 2023,107,0,0,10,22,
15 Dec 2023,98,0,0,15,28,
16 Dec 2023,136,0,0,19,14,
17 Dec 2023,108,1,0,11,20,
18 Dec 2023,110,5,0,9,24,
19 Dec 2023,84,1,0,22,15,
20 Dec 2023,91,2,0,7,19,
21 Dec 2023,87,0,0,22,20,
22 Dec 2023,111,2,0,5,36,
23 Dec 2023,140,0,0,14,28,
24 Dec 2023,120,1,0,13,27,
25 Dec 2023,139,0,0,11,40,
26 Dec 2023,105,0,0,11,18,
27 Dec 2023,109,2,0,9,34,
28 Dec 2023,143,0,0,17,33,
29 Dec 2023,154,0,0,17,34,Roll-out of release: Started roll-out of 8 (3.2) at 100%. Roll-out of release: Started roll-out of 9 (3.21) at 100%. Roll-out of release: Started roll-out of 10 (3.3) at 100%.
30 Dec 2023,131,0,0,14,21,
31 Dec 2023,104,0,0,13,22,
1 Jan 2024,116,0,0,5,15,
2 Jan 2024,101,0,0,10,18,
3 Jan 2024,109,0,0,3,27,
4 Jan 2024,119,0,0,5,29,
5 Jan 2024,116,0,0,4,32,
6 Jan 2024,119,5,0,25,33,
7 Jan 2024,130,2,0,20,31,
8 Jan 2024,124,0,0,17,23,
9 Jan 2024,105,1,0,9,23,
10 Jan 2024,104,0,0,20,12,
11 Jan 2024,125,0,0,8,25,
12 Jan 2024,99,0,0,20,25,
13 Jan 2024,128,1,0,12,31,
14 Jan 2024,114,0,0,9,23,
15 Jan 2024,97,0,0,16,29,
16 Jan 2024,96,1,0,8,26,
17 Jan 2024,90,0,0,24,23,
18 Jan 2024,97,1,0,31,17,
19 Jan 2024,108,0,0,14,19,
20 Jan 2024,105,0,0,13,35,
21 Jan 2024,109,2,0,16,22,
22 Jan 2024,108,3,0,13,21,
23 Jan 2024,111,0,0,29,12,
24 Jan 2024,86,2,0,10,10,
25 Jan 2024,105,2,0,5,22,
26 Jan 2024,102,3,0,14,21,
27 Jan 2024,104,2,0,8,34,
28 Jan 2024,107,1,0,8,20,
29 Jan 2024,114,0,0,21,27,
30 Jan 2024,92,4,0,17,18,
31 Jan 2024,108,1,0,25,24,
1 Feb 2024,87,3,0,11,15,
2 Feb 2024,131,7,0,22,34,
3 Feb 2024,134,10,0,17,35,
4 Feb 2024,131,2,0,21,34,
5 Feb 2024,105,0,0,20,25,
6 Feb 2024,106,5,0,13,21,
7 Feb 2024,98,3,0,9,26,
8 Feb 2024,120,4,0,13,47,
9 Feb 2024,83,3,0,4,24,
10 Feb 2024,95,3,0,12,20,
11 Feb 2024,94,3,0,16,18,
12 Feb 2024,123,4,0,17,16,
13 Feb 2024,109,4,0,21,22,
14 Feb 2024,117,8,0,8,29,
15 Feb 2024,139,17,0,13,33,
16 Feb 2024,110,1,0,10,35,
17 Feb 2024,90,0,0,8,18,
18 Feb 2024,111,7,0,6,22,
19 Feb 2024,99,5,0,9,17,Roll-out of release: Started roll-out of 11 (3.4) at 100%.
20 Feb 2024,113,4,0,17,26,
21 Feb 2024,122,3,0,16,35,
22 Feb 2024,131,3,0,7,50,
23 Feb 2024,110,5,0,20,20,
24 Feb 2024,117,6,0,12,28,
25 Feb 2024,104,4,0,9,34,
26 Feb 2024,101,2,0,18,16,
27 Feb 2024,82,2,0,13,19,
28 Feb 2024,95,4,0,8,27,
29 Feb 2024,134,6,0,27,26,
1 Mar 2024,86,13,0,14,19,
2 Mar 2024,80,1,0,5,28,
3 Mar 2024,94,2,0,12,21,
4 Mar 2024,95,6,0,17,21,
5 Mar 2024,100,4,0,15,27,
6 Mar 2024,105,8,0,15,38,
7 Mar 2024,78,3,0,1,19,
8 Mar 2024,71,1,0,2,28,
9 Mar 2024,101,7,0,2,31,
10 Mar 2024,95,4,0,7,35,
11 Mar 2024,77,6,0,2,25,
12 Mar 2024,127,8,0,11,42,
13 Mar 2024,134,8,0,36,32,
14 Mar 2024,100,0,0,13,27,
15 Mar 2024,91,5,0,7,30,
16 Mar 2024,72,4,0,13,12,
17 Mar 2024,92,4,0,10,23,
18 Mar 2024,115,4,0,26,32,
19 Mar 2024,122,1,0,11,24,
20 Mar 2024,115,0,0,10,27,
21 Mar 2024,101,1,0,8,35,
22 Mar 2024,132,3,0,4,43,
23 Mar 2024,105,2,0,18,17,
24 Mar 2024,86,2,0,5,15,
25 Mar 2024,125,8,0,4,30,
26 Mar 2024,104,1,0,8,21,
27 Mar 2024,86,6,0,3,20,
28 Mar 2024,73,2,0,3,16,
29 Mar 2024,88,8,0,2,32,
30 Mar 2024,95,7,0,11,25,
31 Mar 2024,83,6,0,10,28,
1 Apr 2024,96,11,0,9,22,
2 Apr 2024,84,5,0,8,19,
3 Apr 2024,102,7,0,7,19,
4 Apr 2024,89,3,0,5,26,
5 Apr 2024,118,7,0,17,29,
6 Apr 2024,89,4,0,14,21,
7 Apr 2024,88,7,0,7,26,
8 Apr 2024,113,2,0,11,26,
9 Apr 2024,123,3,0,17,31,
10 Apr 2024,86,3,0,12,19,
11 Apr 2024,122,4,0,12,26,Roll-out of release: Started roll-out of 4.0 at 100%.
12 Apr 2024,117,7,0,25,33,
13 Apr 2024,82,7,0,4,10,
14 Apr 2024,138,6,0,13,31,
15 Apr 2024,101,7,0,8,24,
16 Apr 2024,128,9,0,6,30,
17 Apr 2024,118,6,0,8,26,
18 Apr 2024,135,9,0,7,47,
19 Apr 2024,107,7,0,5,25,
20 Apr 2024,142,10,0,9,45,
21 Apr 2024,91,4,0,4,25,
22 Apr 2024,81,3,0,4,28,
23 Apr 2024,138,5,0,3,36,
24 Apr 2024,113,6,0,7,30,
25 Apr 2024,98,6,0,6,26,
26 Apr 2024,121,3,0,5,38,
27 Apr 2024,97,7,0,6,24,
28 Apr 2024,100,6,0,6,27,
29 Apr 2024,101,9,0,10,36,
30 Apr 2024,106,3,0,13,38,
1 May 2024,108,2,0,1,39,
2 May 2024,91,3,0,7,27,
3 May 2024,98,6,0,11,15,
4 May 2024,101,9,0,7,36,
5 May 2024,84,6,0,9,26,
6 May 2024,101,12,0,8,28,
7 May 2024,119,6,0,7,32,
8 May 2024,112,11,0,9,29,
9 May 2024,135,16,0,7,34,
10 May 2024,113,7,0,13,20,
11 May 2024,109,4,0,18,28,
12 May 2024,115,1,0,6,28,
13 May 2024,107,3,0,8,32,
14 May 2024,95,4,0,10,40,
