Date,"Daily active users (DAU) (Unique users, Per interval, Daily): All countries / regions","Daily active users (DAU) (Unique users, Per interval, Daily): Egypt","Daily active users (DAU) (Unique users, Per interval, Daily): Côte d’Ivoire","Daily active users (DAU) (Unique users, Per interval, Daily): Senegal","Daily active users (DAU) (Unique users, Per interval, Daily): United Kingdom","Daily active users (DAU) (Unique users, Per interval, Daily): United States",Notes
1 Dec 2023,"1,371",-,-,-,-,-,
2 Dec 2023,"1,538",-,-,-,-,-,
3 Dec 2023,"1,530",-,-,-,-,-,
4 Dec 2023,"1,686",831,-,-,-,-,
5 Dec 2023,"1,768",920,-,-,-,-,Roll-out of release: Started roll-out of 2 (2.0) at 100%.
6 Dec 2023,"1,693",898,-,-,-,-,
7 Dec 2023,"1,634",863,-,-,-,-,Roll-out of release: Started roll-out of 1 (1.0) at 100%. Roll-out of release: Started roll-out of 3 (1.1) at 100%. Roll-out of release: Started roll-out of 4 (1.2) at 100%. Roll-out of release: Started roll-out of 5 (1.11) at 100%.
8 Dec 2023,"1,737",893,-,-,-,-,Roll-out of release: Started roll-out of 6 (3.0) at 100%.
9 Dec 2023,"1,871",951,-,-,-,-,
10 Dec 2023,"2,019","1,157",-,-,-,-,
11 Dec 2023,"1,975","1,102",-,-,-,-,
12 Dec 2023,"2,027","1,188",-,-,-,-,
13 Dec 2023,"2,128","1,333",-,-,-,-,
14 Dec 2023,"2,298","1,501",-,-,-,-,
15 Dec 2023,"2,087","1,293",-,-,-,-,
16 Dec 2023,"2,216","1,440",-,-,-,-,
17 Dec 2023,"2,229","1,471",-,-,-,-,
18 Dec 2023,"2,351","1,599",-,-,-,-,
19 Dec 2023,"2,548","1,571",-,-,-,-,
20 Dec 2023,"2,551","1,634",-,-,-,-,
21 Dec 2023,"2,368","1,634",-,-,-,-,
22 Dec 2023,"2,442","1,601",-,-,-,-,
23 Dec 2023,"2,621","1,817",-,-,-,-,
24 Dec 2023,"2,865","1,905",-,-,-,-,
25 Dec 2023,"2,867","1,944",-,-,-,-,
26 Dec 2023,"2,958","2,080",-,-,-,-,
27 Dec 2023,"3,116","2,020",-,-,-,-,
28 Dec 2023,"2,770","1,919",-,-,-,-,
29 Dec 2023,"3,034","2,116",-,-,-,-,Roll-out of release: Started roll-out of 8 (3.2) at 100%. Roll-out of release: Started roll-out of 9 (3.21) at 100%. Roll-out of release: Started roll-out of 10 (3.3) at 100%.
30 Dec 2023,"3,113","2,208",-,-,-,-,
31 Dec 2023,"3,062","2,090",-,-,-,-,
1 Jan 2024,"3,095","2,097",-,-,-,-,
2 Jan 2024,"3,085","2,174",-,-,-,-,
3 Jan 2024,"3,074","2,312",-,-,-,-,
4 Jan 2024,"3,159","2,243",-,-,-,-,
5 Jan 2024,"3,327","2,410",-,-,-,-,
6 Jan 2024,"3,326","2,350",-,-,-,-,
7 Jan 2024,"3,420","2,512",-,-,-,-,
8 Jan 2024,"3,378","2,341",-,-,-,-,
9 Jan 2024,"3,426","2,315",-,-,-,-,
10 Jan 2024,"3,307","2,328",-,-,-,-,
11 Jan 2024,"3,413","2,287",-,-,-,-,
12 Jan 2024,"3,506","2,569",-,-,-,-,
13 Jan 2024,"3,368","2,289",-,-,-,-,
14 Jan 2024,"3,122","2,210",-,-,-,-,
15 Jan 2024,"3,326","2,326",-,-,-,-,
16 Jan 2024,"3,169","2,225",-,-,-,-,
17 Jan 2024,"3,300","2,263",-,-,-,-,
18 Jan 2024,"3,268","2,307",-,-,-,-,
19 Jan 2024,"3,408","2,562",-,-,-,-,
20 Jan 2024,"3,508","2,496",-,-,-,-,
21 Jan 2024,"3,390","2,339",-,-,-,-,
22 Jan 2024,"3,337","2,281",-,-,-,-,
23 Jan 2024,"3,260","2,262",-,-,-,-,
24 Jan 2024,"3,254","2,302",-,-,-,-,
25 Jan 2024,"3,448","2,460",-,-,-,-,
26 Jan 2024,"3,566","2,459",-,-,-,-,
27 Jan 2024,"3,303","2,255",-,-,-,-,
28 Jan 2024,"3,460","2,278",-,-,-,-,
29 Jan 2024,"3,333","2,376",-,-,-,-,
30 Jan 2024,"3,319","2,370",-,-,-,-,
31 Jan 2024,"3,412","2,261",-,-,-,-,
1 Feb 2024,"3,356","2,248",-,-,-,-,
2 Feb 2024,"3,479","2,375",-,-,-,-,
3 Feb 2024,"3,494","2,350",-,-,-,-,
4 Feb 2024,"3,305","2,186",-,-,-,-,
5 Feb 2024,"3,381","2,202",-,-,-,-,
6 Feb 2024,"3,504","2,302",-,-,-,-,
7 Feb 2024,"2,933","1,862",-,-,-,-,Change in reporting data: Data updated to only include users who installed or updated your app via Google Play or metrics related to your app if it uses a Google Play service. A significant change may indicate an issue with unauthorised usage. Consider using Play Integrity API to help address this issue.
8 Feb 2024,"2,983","1,878",-,-,-,-,
9 Feb 2024,"3,123","1,905",-,-,-,-,
10 Feb 2024,"2,918","1,837",-,-,-,-,
11 Feb 2024,"2,912","1,907",-,-,-,-,
12 Feb 2024,"3,039","1,888",-,-,-,-,
13 Feb 2024,"3,117","1,761",-,-,-,-,
14 Feb 2024,"3,075","1,971",-,-,-,-,
15 Feb 2024,"3,173","1,904",-,-,-,-,
16 Feb 2024,"3,132","1,947",-,-,-,-,
17 Feb 2024,"3,162","1,880",-,-,-,-,
18 Feb 2024,"3,155","1,832",-,-,-,-,
19 Feb 2024,"3,096","1,947",-,-,-,-,Roll-out of release: Started roll-out of 11 (3.4) at 100%.
20 Feb 2024,"3,275","1,891",-,-,-,-,
21 Feb 2024,"3,276","1,941",-,-,-,-,
22 Feb 2024,"3,420","1,955",-,-,-,-,
23 Feb 2024,"3,514","2,028",-,-,-,-,
24 Feb 2024,"3,317","1,851",-,-,-,-,
25 Feb 2024,"3,247","1,864",-,-,-,-,
26 Feb 2024,"3,067","1,829",-,-,-,-,
27 Feb 2024,"3,320","1,833",-,-,-,-,
28 Feb 2024,"3,225","1,871",-,-,-,-,
29 Feb 2024,"3,209","1,941",-,-,-,-,
1 Mar 2024,"3,265","1,887",-,-,-,-,
2 Mar 2024,"2,984","1,795",-,-,-,-,
3 Mar 2024,"3,719","1,828",-,-,-,-,
4 Mar 2024,"3,883","1,813",-,977,-,-,
5 Mar 2024,"4,057","1,756",-,"1,220",-,-,
6 Mar 2024,"3,792","1,667",-,"1,052",-,-,
7 Mar 2024,"3,595","1,662",-,766,-,-,
8 Mar 2024,"3,576","1,655",-,-,-,-,
9 Mar 2024,"3,461","1,688",-,-,-,-,
10 Mar 2024,"3,263","1,508",-,-,-,-,
11 Mar 2024,"3,284","1,418",-,779,-,-,
12 Mar 2024,"3,551","1,494",-,-,-,-,
13 Mar 2024,"3,491","1,505",-,-,-,-,
14 Mar 2024,"3,487","1,536",-,-,-,-,
15 Mar 2024,"3,655","1,512",-,830,-,-,
16 Mar 2024,"3,493","1,499",-,780,-,-,
17 Mar 2024,"3,278","1,416",-,-,-,-,
18 Mar 2024,"3,585","1,455",-,811,-,-,
19 Mar 2024,"3,889","1,396",-,952,-,-,
20 Mar 2024,"3,883","1,522",-,"1,010",-,-,
21 Mar 2024,"3,793","1,477",-,836,-,-,
22 Mar 2024,"3,767","1,523",-,-,-,-,
23 Mar 2024,"3,607","1,495",-,-,-,-,
24 Mar 2024,"3,578","1,437",-,796,-,-,
25 Mar 2024,"3,565","1,424",-,-,-,-,
