Date,"Installed audience (All users, Unique users, Per interval, Daily): All countries / regions","Installed audience (All users, Unique users, Per interval, Daily): Egypt","Installed audience (All users, Unique users, Per interval, Daily): Côte d’Ivoire","Installed audience (All users, Unique users, Per interval, Daily): Senegal","Installed audience (All users, Unique users, Per interval, Daily): United Kingdom","Installed audience (All users, Unique users, Per interval, Daily): United States",Notes
1 Dec 2023,"3,595","1,168",426,130,16,11,
2 Dec 2023,"3,772","1,291",433,138,24,19,
3 Dec 2023,"3,980","1,404",435,163,18,19,
4 Dec 2023,"4,160","1,541",428,160,17,21,
5 Dec 2023,"4,311","1,636",428,154,23,18,Roll-out of release: Started roll-out of 2 (2.0) at 100%.
6 Dec 2023,"4,514","1,751",441,142,18,18,
7 Dec 2023,"4,585","1,798",456,155,16,12,Roll-out of release: Started roll-out of 1 (1.0) at 100%. Roll-out of release: Started roll-out of 3 (1.1) at 100%. Roll-out of release: Started roll-out of 4 (1.2) at 100%. Roll-out of release: Started roll-out of 5 (1.11) at 100%.
8 Dec 2023,"4,092","1,606",408,123,10,17,Roll-out of release: Started roll-out of 6 (3.0) at 100%.
9 Dec 2023,"4,276","1,754",408,132,11,17,
10 Dec 2023,"4,462","1,898",401,134,11,15,
11 Dec 2023,"4,622","2,008",403,149,13,19,
12 Dec 2023,"4,766","2,137",409,162,14,19,
13 Dec 2023,"4,966","2,286",401,166,16,13,
14 Dec 2023,"5,209","2,454",413,173,14,16,
15 Dec 2023,"5,383","2,591",419,178,16,17,
16 Dec 2023,"5,614","2,777",417,185,15,16,
17 Dec 2023,"5,771","2,915",421,179,13,14,
18 Dec 2023,"5,968","3,043",424,173,15,19,
19 Dec 2023,"6,239","3,160",436,175,14,17,
20 Dec 2023,"6,471","3,326",437,176,15,18,
21 Dec 2023,"6,633","3,437",441,180,14,18,
22 Dec 2023,"6,812","3,580",438,185,16,19,
23 Dec 2023,"7,043","3,797",435,187,16,15,
24 Dec 2023,"7,277","3,975",435,190,14,19,
25 Dec 2023,"7,499","4,176",432,188,18,20,
26 Dec 2023,"7,718","4,348",439,189,16,19,
27 Dec 2023,"7,933","4,510",438,196,21,21,
28 Dec 2023,"8,060","4,589",450,201,19,22,
29 Dec 2023,"8,327","4,765",454,205,15,24,Roll-out of release: Started roll-out of 8 (3.2) at 100%. Roll-out of release: Started roll-out of 9 (3.21) at 100%. Roll-out of release: Started roll-out of 10 (3.3) at 100%.
30 Dec 2023,"8,603","4,968",465,202,15,29,
31 Dec 2023,"8,756","5,101",465,199,15,28,
1 Jan 2024,"8,938","5,233",469,203,14,30,
2 Jan 2024,"9,164","5,415",478,200,15,30,
3 Jan 2024,"9,309","5,532",470,204,15,33,
4 Jan 2024,"9,496","5,670",480,214,19,33,
5 Jan 2024,"9,638","5,801",475,201,20,27,
6 Jan 2024,"9,872","5,956",479,208,21,25,
7 Jan 2024,"10,063","6,092",484,210,23,26,
8 Jan 2024,"10,264","6,201",490,214,22,19,
9 Jan 2024,"10,390","6,234",496,210,18,29,
10 Jan 2024,"10,522","6,334",502,210,17,29,
11 Jan 2024,"10,593","6,385",499,213,17,32,
12 Jan 2024,"10,731","6,488",489,214,12,31,
13 Jan 2024,"10,875","6,606",496,218,9,25,
14 Jan 2024,"10,914","6,633",502,214,7,26,
15 Jan 2024,"11,088","6,788",502,215,8,26,
16 Jan 2024,"11,079","6,777",502,217,5,32,
17 Jan 2024,"11,238","6,890",508,217,12,26,
18 Jan 2024,"11,313","6,925",512,211,15,26,
19 Jan 2024,"11,453","7,008",518,213,18,23,
20 Jan 2024,"11,590","7,076",521,212,21,26,
21 Jan 2024,"11,684","7,081",521,212,16,26,
22 Jan 2024,"11,777","7,163",530,216,16,26,
23 Jan 2024,"11,801","7,202",535,219,14,22,
24 Jan 2024,"12,011","7,271",549,215,17,24,
25 Jan 2024,"11,970","7,266",557,214,20,26,
26 Jan 2024,"12,097","7,335",556,220,21,24,
27 Jan 2024,"12,247","7,392",576,241,17,18,
28 Jan 2024,"12,348","7,425",575,236,18,20,
29 Jan 2024,"12,401","7,459",575,238,21,20,
30 Jan 2024,"12,505","7,562",571,237,21,25,
31 Jan 2024,"12,589","7,576",584,238,20,29,
1 Feb 2024,"12,667","7,624",592,240,16,28,
2 Feb 2024,"12,762","7,698",602,234,18,22,
3 Feb 2024,"12,830","7,716",599,236,17,20,
4 Feb 2024,"12,919","7,735",604,248,19,27,
5 Feb 2024,"12,976","7,753",618,246,17,31,
6 Feb 2024,"13,143","7,861",618,259,19,25,
7 Feb 2024,"13,194","7,878",623,270,22,23,
8 Feb 2024,"13,378","8,000",619,281,24,31,
9 Feb 2024,"13,428","7,989",636,294,21,26,
10 Feb 2024,"13,536","8,049",623,294,21,34,
11 Feb 2024,"13,680","8,117",632,291,18,34,
12 Feb 2024,"13,774","8,139",639,311,20,33,
13 Feb 2024,"13,922","8,168",636,305,22,32,
14 Feb 2024,"14,024","8,236",653,299,28,31,
15 Feb 2024,"14,143","8,296",662,310,25,29,
16 Feb 2024,"14,185","8,331",665,317,28,24,
17 Feb 2024,"14,266","8,307",689,319,35,32,
18 Feb 2024,"14,374","8,351",700,351,32,34,
19 Feb 2024,"14,529","8,403",719,363,35,30,Roll-out of release: Started roll-out of 11 (3.4) at 100%.
20 Feb 2024,"14,624","8,418",747,369,29,37,
21 Feb 2024,"14,781","8,439",753,388,34,34,
22 Feb 2024,"14,924","8,448",767,398,34,35,
23 Feb 2024,"15,120","8,497",785,407,39,45,
24 Feb 2024,"15,163","8,489",776,412,35,33,
25 Feb 2024,"15,178","8,478",786,396,35,33,
26 Feb 2024,"15,214","8,489",798,394,38,37,
27 Feb 2024,"15,265","8,521",800,395,33,43,
28 Feb 2024,"15,317","8,533",804,401,32,42,
29 Feb 2024,"15,429","8,614",823,405,30,38,
1 Mar 2024,"15,556","8,720",830,425,27,33,
2 Mar 2024,"15,568","8,694",838,417,30,38,
3 Mar 2024,"16,033","8,724",846,845,44,34,
4 Mar 2024,"16,514","8,772",848,"1,183",40,35,
5 Mar 2024,"16,895","8,751",865,"1,541",43,36,
6 Mar 2024,"17,032","8,766",859,"1,647",38,37,
7 Mar 2024,"17,034","8,730",857,"1,691",40,40,
8 Mar 2024,"17,029","8,683",873,"1,714",44,44,
9 Mar 2024,"17,150","8,700",881,"1,771",37,45,
10 Mar 2024,"17,186","8,675",921,"1,779",36,42,
11 Mar 2024,"17,237","8,597",928,"1,877",35,45,
12 Mar 2024,"17,365","8,619",959,"1,952",39,41,
13 Mar 2024,"17,281","8,552",983,"1,960",37,37,
14 Mar 2024,"17,326","8,556",982,"1,994",30,29,
15 Mar 2024,"17,451","8,541",995,"2,120",30,35,
16 Mar 2024,"17,520","8,522","1,031","2,177",34,39,
17 Mar 2024,"17,578","8,514","1,042","2,174",29,38,
18 Mar 2024,"17,750","8,481","1,087","2,328",33,39,
19 Mar 2024,"18,085","8,514","1,126","2,481",38,34,
20 Mar 2024,"18,319","8,503","1,131","2,648",36,39,
21 Mar 2024,"18,395","8,512","1,168","2,642",38,40,
22 Mar 2024,"18,430","8,507","1,198","2,616",38,42,
23 Mar 2024,"18,500","8,493","1,215","2,648",45,45,
24 Mar 2024,"18,571","8,485","1,241","2,655",54,48,
25 Mar 2024,"18,509","8,441","1,248","2,654",38,44,
26 Mar 2024,"18,403","8,416","1,253","2,580",42,38,
27 Mar 2024,"18,354","8,407","1,258","2,575",37,32,
28 Mar 2024,"18,373","8,391","1,251","2,580",45,35,
29 Mar 2024,"18,370","8,347","1,271","2,573",46,38,
30 Mar 2024,"18,382","8,328","1,287","2,600",44,42,
31 Mar 2024,"18,579","8,343","1,304","2,660",51,44,
1 Apr 2024,"19,004","8,289","1,335","3,019",37,42,
