Date,"Monthly active users (MAU) (Unique users, Per interval, Daily): All countries / regions","Monthly active users (MAU) (Unique users, Per interval, Daily): Egypt","Monthly active users (MAU) (Unique users, Per interval, Daily): Côte d’Ivoire","Monthly active users (MAU) (Unique users, Per interval, Daily): Senegal","Monthly active users (MAU) (Unique users, Per interval, Daily): United Kingdom","Monthly active users (MAU) (Unique users, Per interval, Daily): United States",Notes
1 Dec 2023,"7,577","2,902",914,-,-,-,
2 Dec 2023,"7,972","3,135",814,-,-,-,
3 Dec 2023,"8,410","3,317",873,-,-,-,
4 Dec 2023,"8,832","3,682",826,-,-,-,
5 Dec 2023,"9,419","3,808","1,021",-,-,-,Roll-out of release: Started roll-out of 2 (2.0) at 100%.
6 Dec 2023,"9,932","4,069",921,-,-,-,
7 Dec 2023,"10,184","4,437",855,-,-,-,Roll-out of release: Started roll-out of 1 (1.0) at 100%. Roll-out of release: Started roll-out of 3 (1.1) at 100%. Roll-out of release: Started roll-out of 4 (1.2) at 100%. Roll-out of release: Started roll-out of 5 (1.11) at 100%.
8 Dec 2023,"10,511","4,634",783,-,-,-,Roll-out of release: Started roll-out of 6 (3.0) at 100%.
9 Dec 2023,"10,965","4,871",962,-,-,-,
10 Dec 2023,"11,315","5,239",964,-,-,-,
11 Dec 2023,"11,927","5,545","1,012",-,-,-,
12 Dec 2023,"12,206","5,878",982,-,-,-,
13 Dec 2023,"12,725","6,273","1,072",-,-,-,
14 Dec 2023,"13,208","6,694","1,060",-,-,-,
15 Dec 2023,"12,522","6,224",887,-,-,-,
16 Dec 2023,"12,989","6,712",904,-,-,-,
17 Dec 2023,"13,387","7,148",920,-,-,-,
18 Dec 2023,"13,952","7,477",782,-,-,-,
19 Dec 2023,"14,226","7,916",916,-,-,-,
20 Dec 2023,"14,744","8,170",779,-,-,-,
21 Dec 2023,"15,240","8,367",815,-,-,-,
22 Dec 2023,"15,621","8,802",906,-,-,-,
23 Dec 2023,"15,963","9,180",853,-,-,-,
24 Dec 2023,"16,361","9,780",822,-,-,-,
25 Dec 2023,"16,984","10,069",-,-,-,-,
26 Dec 2023,"17,395","10,443",755,-,-,-,
27 Dec 2023,"17,752","10,931",791,-,-,-,
28 Dec 2023,"18,009","11,160",847,-,-,-,
29 Dec 2023,"18,607","11,399",834,-,-,-,Roll-out of release: Started roll-out of 8 (3.2) at 100%. Roll-out of release: Started roll-out of 9 (3.21) at 100%. Roll-out of release: Started roll-out of 10 (3.3) at 100%.
30 Dec 2023,"19,128","11,814",877,-,-,-,
31 Dec 2023,"19,472","12,101",873,-,-,-,
1 Jan 2024,"19,741","12,396",772,-,-,-,
2 Jan 2024,"20,111","12,712",815,-,-,-,
3 Jan 2024,"20,493","12,994",869,-,-,-,
4 Jan 2024,"20,746","13,347",825,-,-,-,
5 Jan 2024,"21,233","13,677",888,-,-,-,
6 Jan 2024,"21,587","13,976",803,-,-,-,
7 Jan 2024,"22,016","14,370",872,-,-,-,
8 Jan 2024,"22,437","14,590",882,-,-,-,
9 Jan 2024,"22,729","14,778",803,-,-,-,
10 Jan 2024,"23,074","15,052",918,-,-,-,
11 Jan 2024,"23,321","15,172",925,-,-,-,
12 Jan 2024,"23,600","15,312",766,-,-,-,
