Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions","User acquisition (All users, All events, Per interval, Daily): Egypt","User acquisition (All users, All events, Per interval, Daily): Côte d’Ivoire","User acquisition (All users, All events, Per interval, Daily): Senegal","User acquisition (All users, All events, Per interval, Daily): United Kingdom","User acquisition (All users, All events, Per interval, Daily): United States",Notes
1 Dec 2023,505,254,27,23,4,1,
2 Dec 2023,557,327,22,22,4,0,
3 Dec 2023,596,358,26,30,2,2,
4 Dec 2023,643,395,31,29,2,0,
5 Dec 2023,657,382,31,16,1,1,Roll-out of release: Started roll-out of 2 (2.0) at 100%.
6 Dec 2023,668,360,33,15,1,2,
7 Dec 2023,501,275,17,13,0,2,Roll-out of release: Started roll-out of 1 (1.0) at 100%. Roll-out of release: Started roll-out of 3 (1.1) at 100%. Roll-out of release: Started roll-out of 4 (1.2) at 100%. Roll-out of release: Started roll-out of 5 (1.11) at 100%.
8 Dec 2023,510,281,37,10,0,1,Roll-out of release: Started roll-out of 6 (3.0) at 100%.
9 Dec 2023,565,368,30,18,1,3,
10 Dec 2023,640,444,16,20,0,0,
11 Dec 2023,552,346,15,21,1,4,
12 Dec 2023,571,372,27,15,0,0,
13 Dec 2023,608,408,11,20,1,2,
14 Dec 2023,654,450,23,13,0,1,
15 Dec 2023,707,482,17,19,0,1,
16 Dec 2023,675,489,14,11,0,1,
17 Dec 2023,661,448,14,18,0,2,
18 Dec 2023,704,450,20,10,2,1,
19 Dec 2023,777,444,20,7,0,5,
20 Dec 2023,800,505,29,22,0,2,
21 Dec 2023,681,454,20,17,0,0,
22 Dec 2023,667,473,15,11,1,3,
23 Dec 2023,843,658,14,13,0,1,
24 Dec 2023,848,650,11,13,0,2,
25 Dec 2023,853,649,20,8,0,2,
26 Dec 2023,811,600,19,13,1,2,
27 Dec 2023,825,579,23,16,2,4,
28 Dec 2023,667,490,21,9,0,3,
29 Dec 2023,919,637,25,8,1,4,Roll-out of release: Started roll-out of 8 (3.2) at 100%. Roll-out of release: Started roll-out of 9 (3.21) at 100%. Roll-out of release: Started roll-out of 10 (3.3) at 100%.
30 Dec 2023,987,700,31,22,3,0,
31 Dec 2023,805,548,28,13,1,2,
1 Jan 2024,795,572,15,15,0,1,
2 Jan 2024,865,618,29,11,0,4,
3 Jan 2024,910,631,27,18,0,1,
4 Jan 2024,821,552,18,15,0,1,
5 Jan 2024,843,593,25,9,0,3,
6 Jan 2024,938,650,14,18,0,1,
7 Jan 2024,906,623,15,18,0,3,
8 Jan 2024,805,515,20,14,1,1,
9 Jan 2024,790,457,20,21,1,3,
10 Jan 2024,764,526,22,12,1,3,
11 Jan 2024,800,533,14,12,1,1,
12 Jan 2024,837,593,8,12,0,0,
13 Jan 2024,798,543,19,21,1,1,
14 Jan 2024,669,414,22,15,1,2,
15 Jan 2024,927,656,15,23,2,3,
16 Jan 2024,742,501,21,19,0,0,
17 Jan 2024,762,490,23,21,3,1,
18 Jan 2024,632,410,16,13,0,1,
19 Jan 2024,749,490,30,16,0,0,
20 Jan 2024,830,513,19,23,0,3,
21 Jan 2024,781,494,18,14,3,1,
22 Jan 2024,753,499,16,14,1,0,
23 Jan 2024,650,426,15,15,3,2,
24 Jan 2024,750,429,24,8,4,0,
25 Jan 2024,722,444,22,20,1,1,
26 Jan 2024,769,455,23,18,3,1,
27 Jan 2024,721,433,25,32,0,0,
28 Jan 2024,707,413,18,15,0,1,
29 Jan 2024,655,431,18,13,0,1,
30 Jan 2024,643,407,24,15,0,2,
31 Jan 2024,652,390,19,12,0,4,
1 Feb 2024,663,401,25,9,2,4,
2 Feb 2024,685,415,23,10,0,0,
3 Feb 2024,755,463,22,14,0,0,
4 Feb 2024,704,379,28,25,2,1,
5 Feb 2024,697,436,28,15,0,2,
6 Feb 2024,769,427,22,36,3,2,
7 Feb 2024,787,475,20,32,4,4,
8 Feb 2024,826,486,26,39,1,1,
9 Feb 2024,721,413,29,35,1,1,
10 Feb 2024,554,343,9,14,1,3,
11 Feb 2024,799,451,20,20,0,3,
12 Feb 2024,838,446,27,32,1,1,
13 Feb 2024,942,481,22,33,1,3,
14 Feb 2024,825,480,46,23,0,2,
15 Feb 2024,842,458,45,38,1,2,
16 Feb 2024,819,453,44,29,2,1,
17 Feb 2024,804,367,57,44,2,1,
18 Feb 2024,863,446,48,67,1,2,
19 Feb 2024,854,421,49,69,2,0,Roll-out of release: Started roll-out of 11 (3.4) at 100%.
20 Feb 2024,886,439,63,47,0,5,
21 Feb 2024,911,400,59,58,0,3,
22 Feb 2024,924,402,40,40,0,1,
23 Feb 2024,910,447,48,44,1,4,
24 Feb 2024,778,397,35,38,1,2,
25 Feb 2024,732,367,38,30,2,1,
26 Feb 2024,765,426,28,40,1,3,
27 Feb 2024,846,445,37,26,3,1,
28 Feb 2024,831,449,30,37,2,3,
29 Feb 2024,783,468,41,34,1,3,
1 Mar 2024,911,580,30,36,2,1,
2 Mar 2024,779,454,31,27,0,3,
3 Mar 2024,"1,566",406,33,804,16,2,
4 Mar 2024,"1,666",439,32,855,12,2,
5 Mar 2024,"1,678",365,41,966,10,4,
6 Mar 2024,"1,159",358,15,530,6,5,
7 Mar 2024,980,375,29,337,3,2,
8 Mar 2024,944,337,32,306,4,0,
9 Mar 2024,956,315,46,292,3,3,
10 Mar 2024,841,252,69,247,4,4,
11 Mar 2024,915,239,61,329,4,4,
12 Mar 2024,"1,008",310,90,337,4,0,
13 Mar 2024,864,316,58,263,4,0,
14 Mar 2024,880,350,19,280,1,3,
15 Mar 2024,"1,216",373,54,506,7,6,
16 Mar 2024,"1,006",334,68,357,4,2,
17 Mar 2024,991,348,67,275,3,0,
18 Mar 2024,"1,272",368,74,467,8,2,
19 Mar 2024,"1,438",408,97,530,7,2,
20 Mar 2024,"1,397",367,60,575,7,5,
21 Mar 2024,"1,193",357,91,397,3,3,
22 Mar 2024,"1,066",351,80,318,3,1,
23 Mar 2024,989,346,66,243,6,2,
